REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Pacífico,76,Valle del Cauca,"76,126",Calima
Región Pacífico,19,Cauca,"19,142",Caloto
Región Eje Cafetero - Antioquia,5,Antioquia,"5,134",Campamento
Región Caribe,8,Atlántico,"8,137",Campo de La Cruz
Región Centro Sur,41,Huila,"41,132",Campoalegre
Región Centro Oriente,15,Boyacá,"15,135",Campohermoso
Región Caribe,23,Córdoba,"23,090",Canalete
Región Caribe,8,Atlántico,"8,141",Candelaria
Región Pacífico,76,Valle del Cauca,"76,130",Candelaria
Región Caribe,13,Bolívar,"13,160",Cantagallo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,138",Cañasgordas
Región Centro Oriente,25,Cundinamarca,"25,148",Caparrapí
Región Centro Oriente,68,Santander,"68,147",Capitanejo
Región Centro Oriente,25,Cundinamarca,"25,151",Caqueza
Región Eje Cafetero - Antioquia,5,Antioquia,"5,142",Caracolí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,145",Caramanta
Región Centro Oriente,68,Santander,"68,152",Carcasí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,147",Carepa
Región Centro Sur,73,Tolima,"73,148",Carmen de Apicala
Región Centro Oriente,25,Cundinamarca,"25,154",Carmen de Carupa
Región Pacífico,27,Chocó,"27,150",Carmen del Darien
Región Eje Cafetero - Antioquia,5,Antioquia,"5,150",Carolina
Región Caribe,13,Bolívar,"13,001",Cartagena
Región Centro Sur,18,Caquetá,"18,150",Cartagena del Chairá
Región Pacífico,76,Valle del Cauca,"76,147",Cartago
Región Llano,97,Vaupés,"97,161",Caruru
Región Centro Sur,73,Tolima,"73,152",Casabianca
Región Llano,50,Meta,"50,150",Castilla la Nueva
Región Eje Cafetero - Antioquia,5,Antioquia,"5,154",Caucasia
Región Centro Oriente,68,Santander,"68,160",Cepitá
Región Caribe,23,Córdoba,"23,162",Cereté
Región Centro Oriente,15,Boyacá,"15,162",Cerinza
Región Centro Oriente,68,Santander,"68,162",Cerrito
Región Caribe,47,Magdalena,"47,161",Cerro San Antonio
Región Pacífico,27,Chocó,"27,160",Cértegui
Región Pacífico,52,Nariño,"52,240",Chachagüí
Región Centro Oriente,25,Cundinamarca,"25,168",Chaguaní
Región Caribe,70,Sucre,"70,230",Chalán
Región Llano,85,Casanare,"85,015",Chámeza
Región Centro Sur,73,Tolima,"73,168",Chaparral
Región Centro Oriente,68,Santander,"68,167",Charalá
Región Centro Oriente,68,Santander,"68,169",Charta
Región Centro Oriente,25,Cundinamarca,"25,175",Chía
Región Eje Cafetero - Antioquia,5,Antioquia,"5,172",Chigorodó
Región Caribe,23,Córdoba,"23,168",Chimá
Región Centro Oriente,68,Santander,"68,176",Chimá
Región Caribe,20,Cesar,"20,175",Chimichagua
Región Centro Oriente,54,Norte de Santander,"54,172",Chinácota
Región Centro Oriente,15,Boyacá,"15,172",Chinavita
Región Eje Cafetero - Antioquia,17,Caldas,"17,174",Chinchiná
Región Caribe,23,Córdoba,"23,182",Chinú
Región Centro Oriente,25,Cundinamarca,"25,178",Chipaque
Región Centro Oriente,68,Santander,"68,179",Chipatá
Región Centro Oriente,15,Boyacá,"15,176",Chiquinquirá
Región Centro Oriente,15,Boyacá,"15,232",Chíquiza
Región Caribe,20,Cesar,"20,178",Chiriguaná
Región Centro Oriente,15,Boyacá,"15,180",Chiscas
Región Centro Oriente,15,Boyacá,"15,183",Chita
Región Centro Oriente,54,Norte de Santander,"54,174",Chitagá
Región Centro Oriente,15,Boyacá,"15,185",Chitaraque
Región Centro Oriente,15,Boyacá,"15,187",Chivatá
Región Caribe,47,Magdalena,"47,170",Chivolo
Región Centro Oriente,15,Boyacá,"15,236",Chivor
Región Centro Oriente,25,Cundinamarca,"25,181",Choachí
Región Centro Oriente,25,Cundinamarca,"25,183",Chocontá
Región Caribe,13,Bolívar,"13,188",Cicuco
Región Caribe,47,Magdalena,"47,189",Ciénaga
Región Caribe,23,Córdoba,"23,189",Ciénaga de Oro
Región Centro Oriente,15,Boyacá,"15,189",Ciénega
Región Centro Oriente,68,Santander,"68,190",Cimitarra
Región Eje Cafetero - Antioquia,63,Quindío,"63,190",Circasia
Región Eje Cafetero - Antioquia,5,Antioquia,"5,190",Cisneros
Región Eje Cafetero - Antioquia,5,Antioquia,"5,101",Ciudad Bolívar
Región Caribe,13,Bolívar,"13,222",Clemencia
Región Eje Cafetero - Antioquia,5,Antioquia,"5,197",Cocorná
Región Centro Sur,73,Tolima,"73,200",Coello
Región Centro Oriente,25,Cundinamarca,"25,200",Cogua
Región Centro Sur,41,Huila,"41,206",Colombia
Región Pacífico,52,Nariño,"52,203",Colón
Región Centro Sur,86,Putumayo,"86,219",Colón
Región Caribe,70,Sucre,"70,204",Coloso
Región Centro Oriente,15,Boyacá,"15,204",Cómbita
Región Eje Cafetero - Antioquia,5,Antioquia,"5,206",Concepción
Región Centro Oriente,68,Santander,"68,207",Concepción
Región Eje Cafetero - Antioquia,5,Antioquia,"5,209",Concordia
Región Caribe,47,Magdalena,"47,205",Concordia
Región Pacífico,27,Chocó,"27,205",Condoto
Región Centro Oriente,68,Santander,"68,209",Confines
Región Pacífico,52,Nariño,"52,207",Consaca
Región Pacífico,52,Nariño,"52,210",Contadero
Región Centro Oriente,68,Santander,"68,211",Contratación
Región Centro Oriente,54,Norte de Santander,"54,206",Convención
Región Eje Cafetero - Antioquia,5,Antioquia,"5,212",Copacabana
Región Centro Oriente,15,Boyacá,"15,212",Coper
Región Caribe,13,Bolívar,"13,212",Córdoba
Región Pacífico,52,Nariño,"52,215",Córdoba
Región Eje Cafetero - Antioquia,63,Quindío,"63,212",Córdoba
Región Pacífico,19,Cauca,"19,212",Corinto
Región Centro Oriente,68,Santander,"68,217",Coromoro
Región Caribe,70,Sucre,"70,215",Corozal
Región Centro Oriente,15,Boyacá,"15,215",Corrales
Región Centro Oriente,25,Cundinamarca,"25,214",Cota
Región Caribe,23,Córdoba,"23,300",Cotorra
Región Centro Oriente,15,Boyacá,"15,218",Covarachía
Región Caribe,70,Sucre,"70,221",Coveñas
Región Centro Sur,73,Tolima,"73,217",Coyaima
Región Llano,81,Arauca,"81,220",Cravo Norte
Región Pacífico,52,Nariño,"52,224",Cuaspud
Región Centro Oriente,15,Boyacá,"15,223",Cubará
Región Llano,50,Meta,"50,223",Cubarral
Región Centro Oriente,15,Boyacá,"15,224",Cucaita
Región Centro Oriente,25,Cundinamarca,"25,224",Cucunubá
Región Centro Oriente,54,Norte de Santander,"54,001",Cúcuta
Región Centro Oriente,54,Norte de Santander,"54,223",Cucutilla
Región Centro Oriente,15,Boyacá,"15,226",Cuítiva
Región Llano,50,Meta,"50,226",Cumaral
Región Llano,99,Vichada,"99,773",Cumaribo
Región Pacífico,52,Nariño,"52,227",Cumbal
Región Pacífico,52,Nariño,"52,233",Cumbitara
Región Centro Sur,73,Tolima,"73,226",Cunday
Región Centro Sur,18,Caquetá,"18,205",Curillo
Región Centro Oriente,68,Santander,"68,229",Curití
Región Caribe,20,Cesar,"20,228",Curumaní
Región Eje Cafetero - Antioquia,5,Antioquia,"5,234",Dabeiba
Región Pacífico,76,Valle del Cauca,"76,233",Dagua
Región Caribe,44,La Guajira,"44,090",Dibula
Región Caribe,44,La Guajira,"44,098",Distracción
Región Centro Sur,73,Tolima,"73,236",Dolores
Región Eje Cafetero - Antioquia,5,Antioquia,"5,237",Don Matías
Región Eje Cafetero - Antioquia,66,Risaralda,"66,170",Dosquebradas
Región Centro Oriente,15,Boyacá,"15,238",Duitama
Región Centro Oriente,54,Norte de Santander,"54,239",Durania
Región Eje Cafetero - Antioquia,5,Antioquia,"5,240",Ebéjico
Región Pacífico,76,Valle del Cauca,"76,243",El Águila
Región Eje Cafetero - Antioquia,5,Antioquia,"5,250",El Bagre
Región Caribe,47,Magdalena,"47,245",El Banco
Región Pacífico,76,Valle del Cauca,"76,246",El Cairo
Región Llano,50,Meta,"50,245",El Calvario
Región Pacífico,27,Chocó,"27,135",El Cantón del San Pablo
Región Centro Oriente,54,Norte de Santander,"54,245",El Carmen
Región Pacífico,27,Chocó,"27,245",El Carmen de Atrato
Región Caribe,13,Bolívar,"13,244",El Carmen de Bolívar
Región Centro Oriente,68,Santander,"68,235",El Carmen de Chucurí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,148",El Carmen de Viboral
Región Llano,50,Meta,"50,251",El Castillo
Región Pacífico,76,Valle del Cauca,"76,248",El Cerrito
Región Pacífico,52,Nariño,"52,250",El Charco
Región Centro Oriente,15,Boyacá,"15,244",El Cocuy
Región Centro Oriente,25,Cundinamarca,"25,245",El Colegio
Región Caribe,20,Cesar,"20,238",El Copey
Región Centro Sur,18,Caquetá,"18,247",El Doncello
Región Llano,50,Meta,"50,270",El Dorado
Región Pacífico,76,Valle del Cauca,"76,250",El Dovio
Región Centro Sur,91,Amazonas,"91,263",El Encanto
Región Centro Oriente,15,Boyacá,"15,248",El Espino
Región Centro Oriente,68,Santander,"68,245",El Guacamayo
Región Caribe,13,Bolívar,"13,248",El Guamo
Región Pacífico,27,Chocó,"27,250",El Litoral del San Juan
Región Caribe,44,La Guajira,"44,110",El Molino
Región Caribe,20,Cesar,"20,250",El Paso
Región Centro Sur,18,Caquetá,"18,256",El Paujil
Región Pacífico,52,Nariño,"52,254",El Peñol
Región Caribe,13,Bolívar,"13,268",El Peñón
Región Centro Oriente,25,Cundinamarca,"25,258",El Peñón
Región Centro Oriente,68,Santander,"68,250",El Peñón
Región Caribe,47,Magdalena,"47,258",El Piñon
Región Centro Oriente,68,Santander,"68,255",El Playón
Región Caribe,47,Magdalena,"47,268",El Retén
Región Llano,95,Guaviare,"95,025",El Retorno
Región Caribe,70,Sucre,"70,233",El Roble
Región Centro Oriente,25,Cundinamarca,"25,260",El Rosal
Región Pacífico,52,Nariño,"52,256",El Rosario
Región Eje Cafetero - Antioquia,5,Antioquia,"5,697",El Santuario
Región Pacífico,52,Nariño,"52,258",El Tablón de Gómez
Región Pacífico,19,Cauca,"19,256",El Tambo
Región Pacífico,52,Nariño,"52,260",El Tambo
Región Centro Oriente,54,Norte de Santander,"54,250",El Tarra
Región Centro Oriente,54,Norte de Santander,"54,261",El Zulia
Región Centro Sur,41,Huila,"41,244",Elías
Región Centro Oriente,68,Santander,"68,264",Encino
Región Centro Oriente,68,Santander,"68,266",Enciso
Región Eje Cafetero - Antioquia,5,Antioquia,"5,264",Entrerrios
Región Eje Cafetero - Antioquia,5,Antioquia,"5,266",Envigado
Región Centro Sur,73,Tolima,"73,268",Espinal
Región Centro Oriente,25,Cundinamarca,"25,269",Facatativá
Región Centro Sur,73,Tolima,"73,270",Falan
Región Eje Cafetero - Antioquia,17,Caldas,"17,272",Filadelfia
Región Eje Cafetero - Antioquia,63,Quindío,"63,272",Filandia
Región Centro Oriente,15,Boyacá,"15,272",Firavitoba
Región Centro Sur,73,Tolima,"73,275",Flandes
Región Centro Sur,18,Caquetá,"18,001",Florencia
Región Pacífico,19,Cauca,"19,290",Florencia
Región Centro Oriente,15,Boyacá,"15,276",Floresta
Región Centro Oriente,68,Santander,"68,271",Florián
Región Pacífico,76,Valle del Cauca,"76,275",Florida
Región Centro Oriente,68,Santander,"68,276",Floridablanca
Región Centro Oriente,25,Cundinamarca,"25,279",Fomeque
Región Caribe,44,La Guajira,"44,279",Fonseca
Región Llano,81,Arauca,"81,300",Fortul
Región Centro Oriente,25,Cundinamarca,"25,281",Fosca
Región Pacífico,52,Nariño,"52,520",Francisco Pizarro
Región Eje Cafetero - Antioquia,5,Antioquia,"5,282",Fredonia
Región Centro Sur,73,Tolima,"73,283",Fresno
Región Eje Cafetero - Antioquia,5,Antioquia,"5,284",Frontino
Región Llano,50,Meta,"50,287",Fuente de Oro
Región Caribe,47,Magdalena,"47,288",Fundación
Región Pacífico,52,Nariño,"52,287",Funes
Región Centro Oriente,25,Cundinamarca,"25,286",Funza
Región Centro Oriente,25,Cundinamarca,"25,288",Fúquene
Región Centro Oriente,25,Cundinamarca,"25,290",Fusagasugá
Región Centro Oriente,25,Cundinamarca,"25,293",Gachala
Región Centro Oriente,25,Cundinamarca,"25,295",Gachancipá
Región Centro Oriente,15,Boyacá,"15,293",Gachantivá
Región Centro Oriente,25,Cundinamarca,"25,297",Gachetá
Región Centro Oriente,68,Santander,"68,296",Galán
Región Caribe,8,Atlántico,"8,296",Galapa
Región Caribe,70,Sucre,"70,235",Galeras
Región Centro Oriente,25,Cundinamarca,"25,299",Gama
Región Caribe,20,Cesar,"20,295",Gamarra
Región Centro Oriente,68,Santander,"68,298",Gambita
Región Centro Oriente,15,Boyacá,"15,296",Gameza
Región Centro Oriente,15,Boyacá,"15,299",Garagoa
Región Centro Sur,41,Huila,"41,298",Garzón
Región Eje Cafetero - Antioquia,63,Quindío,"63,302",Génova
Región Centro Sur,41,Huila,"41,306",Gigante
Región Pacífico,76,Valle del Cauca,"76,306",Ginebra
Región Eje Cafetero - Antioquia,5,Antioquia,"5,306",Giraldo
Región Centro Oriente,25,Cundinamarca,"25,307",Girardot
Región Eje Cafetero - Antioquia,5,Antioquia,"5,308",Girardota
Región Centro Oriente,68,Santander,"68,307",Girón
Región Eje Cafetero - Antioquia,5,Antioquia,"5,310",Gómez Plata
Región Caribe,20,Cesar,"20,310",González
Región Centro Oriente,54,Norte de Santander,"54,313",Gramalote
Región Eje Cafetero - Antioquia,5,Antioquia,"5,313",Granada
Región Centro Oriente,25,Cundinamarca,"25,312",Granada
Región Llano,50,Meta,"50,313",Granada
Región Centro Oriente,68,Santander,"68,318",Guaca
Región Centro Oriente,15,Boyacá,"15,317",Guacamayas
Región Pacífico,76,Valle del Cauca,"76,318",Guacarí
Región Pacífico,19,Cauca,"19,300",Guachené
Región Centro Oriente,25,Cundinamarca,"25,317",Guachetá
Región Pacífico,52,Nariño,"52,317",Guachucal
Región Pacífico,76,Valle del Cauca,"76,111",Guadalajara de Buga
Región Eje Cafetero - Antioquia,5,Antioquia,"5,315",Guadalupe
Región Centro Sur,41,Huila,"41,319",Guadalupe
Región Centro Oriente,68,Santander,"68,320",Guadalupe
Región Centro Oriente,25,Cundinamarca,"25,320",Guaduas
Región Pacífico,52,Nariño,"52,320",Guaitarilla
Región Pacífico,52,Nariño,"52,323",Gualmatán
Región Caribe,47,Magdalena,"47,318",Guamal
Región Llano,50,Meta,"50,318",Guamal
Región Centro Sur,73,Tolima,"73,319",Guamo
Región Pacífico,19,Cauca,"19,318",Guapi
Región Centro Oriente,68,Santander,"68,322",Guapotá
Región Caribe,70,Sucre,"70,265",Guaranda
Región Eje Cafetero - Antioquia,5,Antioquia,"5,318",Guarne
Región Centro Oriente,25,Cundinamarca,"25,322",Guasca
Región Eje Cafetero - Antioquia,5,Antioquia,"5,321",Guatapé
Región Centro Oriente,25,Cundinamarca,"25,324",Guataquí
Región Centro Oriente,25,Cundinamarca,"25,326",Guatavita
Región Centro Oriente,15,Boyacá,"15,322",Guateque
Región Eje Cafetero - Antioquia,66,Risaralda,"66,318",Guática
Región Centro Oriente,68,Santander,"68,324",Guavatá
Región Centro Oriente,25,Cundinamarca,"25,328",Guayabal de Siquima
Región Centro Oriente,25,Cundinamarca,"25,335",Guayabetal
Región Centro Oriente,15,Boyacá,"15,325",Guayatá
Región Centro Oriente,68,Santander,"68,327",Güepsa
Región Centro Oriente,15,Boyacá,"15,332",Güicán
Región Centro Oriente,25,Cundinamarca,"25,339",Gutiérrez
Región Centro Oriente,54,Norte de Santander,"54,344",Hacarí
Región Caribe,13,Bolívar,"13,300",Hatillo de Loba
Región Centro Oriente,68,Santander,"68,344",Hato
Región Llano,85,Casanare,"85,125",Hato Corozal
Región Caribe,44,La Guajira,"44,378",Hatonuevo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,347",Heliconia
Región Centro Oriente,54,Norte de Santander,"54,347",Herrán
Región Centro Sur,73,Tolima,"73,347",Herveo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,353",Hispania
Región Centro Sur,41,Huila,"41,349",Hobo
Región Centro Sur,73,Tolima,"73,349",Honda
Región Centro Sur,73,Tolima,"73,001",Ibagué
Región Centro Sur,73,Tolima,"73,352",Icononzo
Región Pacífico,52,Nariño,"52,352",Iles
Región Pacífico,52,Nariño,"52,354",Imués
Región Llano,94,Guainía,"94,001",Inírida
Región Pacífico,19,Cauca,"19,355",Inzá
Región Pacífico,52,Nariño,"52,356",Ipiales
Región Centro Sur,41,Huila,"41,357",Iquira
Región Centro Sur,41,Huila,"41,359",Isnos
Región Pacífico,27,Chocó,"27,361",Istmina
Región Eje Cafetero - Antioquia,5,Antioquia,"5,360",Itagui
Región Eje Cafetero - Antioquia,5,Antioquia,"5,361",Ituango
Región Centro Oriente,15,Boyacá,"15,362",Iza
Región Pacífico,19,Cauca,"19,364",Jambaló
Región Pacífico,76,Valle del Cauca,"76,364",Jamundí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,364",Jardín
Región Centro Oriente,15,Boyacá,"15,367",Jenesano
Región Eje Cafetero - Antioquia,5,Antioquia,"5,368",Jericó
Región Centro Oriente,15,Boyacá,"15,368",Jericó
Región Centro Oriente,25,Cundinamarca,"25,368",Jerusalén
Región Centro Oriente,68,Santander,"68,368",Jesús María
Región Centro Oriente,68,Santander,"68,370",Jordán
Región Caribe,8,Atlántico,"8,372",Juan de Acosta
Región Centro Oriente,25,Cundinamarca,"25,372",Junín
Región Pacífico,27,Chocó,"27,372",Juradó
Región Caribe,23,Córdoba,"23,350",La Apartada
Región Centro Sur,41,Huila,"41,378",La Argentina
Región Centro Oriente,68,Santander,"68,377",La Belleza
Región Centro Oriente,25,Cundinamarca,"25,377",La Calera
Región Centro Oriente,15,Boyacá,"15,380",La Capilla
Región Eje Cafetero - Antioquia,5,Antioquia,"5,376",La Ceja
Región Eje Cafetero - Antioquia,66,Risaralda,"66,383",La Celia
Región Centro Sur,91,Amazonas,"91,405",La Chorrera
Región Pacífico,52,Nariño,"52,378",La Cruz
Región Pacífico,76,Valle del Cauca,"76,377",La Cumbre
Región Eje Cafetero - Antioquia,17,Caldas,"17,380",La Dorada
Región Centro Oriente,54,Norte de Santander,"54,385",La Esperanza
Región Eje Cafetero - Antioquia,5,Antioquia,"5,380",La Estrella
Región Pacífico,52,Nariño,"52,381",La Florida
Región Caribe,20,Cesar,"20,383",La Gloria
Región Llano,94,Guainía,"94,885",La Guadalupe
Región Caribe,20,Cesar,"20,400",La Jagua de Ibirico
Región Caribe,44,La Guajira,"44,420",La Jagua del Pilar
Región Pacífico,52,Nariño,"52,385",La Llanada
Región Llano,50,Meta,"50,350",La Macarena
Región Eje Cafetero - Antioquia,17,Caldas,"17,388",La Merced
Región Centro Oriente,25,Cundinamarca,"25,386",La Mesa
Región Centro Sur,18,Caquetá,"18,410",La Montañita
Región Centro Oriente,25,Cundinamarca,"25,394",La Palma
Región Caribe,20,Cesar,"20,621",La Paz
Región Centro Oriente,68,Santander,"68,397",La Paz
Región Centro Sur,91,Amazonas,"91,407",La Pedrera
Región Centro Oriente,25,Cundinamarca,"25,398",La Peña
Región Eje Cafetero - Antioquia,5,Antioquia,"5,390",La Pintada
Región Centro Sur,41,Huila,"41,396",La Plata
Región Centro Oriente,54,Norte de Santander,"54,398",La Playa
Región Llano,99,Vichada,"99,524",La Primavera
Región Llano,85,Casanare,"85,136",La Salina
Región Pacífico,19,Cauca,"19,392",La Sierra
Región Eje Cafetero - Antioquia,63,Quindío,"63,401",La Tebaida
Región Pacífico,52,Nariño,"52,390",La Tola
Región Eje Cafetero - Antioquia,5,Antioquia,"5,400",La Unión
Región Pacífico,52,Nariño,"52,399",La Unión
Región Caribe,70,Sucre,"70,400",La Unión
Región Pacífico,76,Valle del Cauca,"76,400",La Unión
Región Centro Oriente,15,Boyacá,"15,403",La Uvita
Región Pacífico,19,Cauca,"19,397",La Vega
Región Centro Oriente,25,Cundinamarca,"25,402",La Vega
Región Centro Oriente,15,Boyacá,"15,401",La Victoria
Región Pacífico,76,Valle del Cauca,"76,403",La Victoria
Región Centro Sur,91,Amazonas,"91,430",La Victoria
Región Eje Cafetero - Antioquia,66,Risaralda,"66,400",La Virginia
Región Centro Oriente,54,Norte de Santander,"54,377",Labateca
Región Centro Oriente,15,Boyacá,"15,377",Labranzagrande
Región Centro Oriente,68,Santander,"68,385",Landázuri
Región Centro Oriente,68,Santander,"68,406",Lebríja
Región Centro Sur,86,Putumayo,"86,573",Leguízamo
Región Pacífico,52,Nariño,"52,405",Leiva
Región Llano,50,Meta,"50,400",Lejanías
Región Centro Oriente,25,Cundinamarca,"25,407",Lenguazaque
Región Centro Sur,73,Tolima,"73,408",Lérida
Región Centro Sur,91,Amazonas,"91,001",Leticia
Región Centro Sur,73,Tolima,"73,411",Líbano
Región Eje Cafetero - Antioquia,5,Antioquia,"5,411",Liborina
Región Pacífico,52,Nariño,"52,411",Linares
Región Pacífico,27,Chocó,"27,413",Lloró
Región Pacífico,19,Cauca,"19,418",López
Región Caribe,23,Córdoba,"23,417",Lorica
Región Pacífico,52,Nariño,"52,418",Los Andes
Región Caribe,23,Córdoba,"23,419",Los Córdobas
Región Caribe,70,Sucre,"70,418",Los Palmitos
Región Centro Oriente,54,Norte de Santander,"54,405",Los Patios
Región Centro Oriente,68,Santander,"68,418",Los Santos
